departure_day,departure_time_hour,order_id,payment_day,payment_week,departure_week,account_id,adult,child,infant,age,gender,customer_price
Tuesday,14:55,a4d48eacffa9b25aa8a70980fb37a563,Thursday,16,22,3128f8f9b4c1c97f173ff9d88e716296,2,1,0,0,F,4201568.0
Monday,08:45,6f05bd93f9646a8691f197d7823df0d4,Wednesday,19,22,6ac8d0e095c41f14acf7fa5b48adad2d,2,1,0,0,M,4201568.0
Sunday,12:25,d3b068f35bc87bc2e15abcc1589af998,Monday,19,22,806afb09d7b541ad51963b3113e0633f,2,1,0,43,M,4201568.0
Saturday,05:50,0fdfad9c37969caeec08a410542302c0,Wednesday,22,22,24dfefd3d43862b576fbbfe111ace951,2,0,0,0,M,4080700.0
Tuesday,14:55,a209dc6390a0a39976bfa6112c341f12,Friday,20,22,675cd3cf7b990f8b0a99d1427ba438c4,1,0,0,0,M,1142050.0
Monday,08:45,4c14574409afe85fc0974ea27604d500,Friday,20,22,1ccdc176e849c393a931ae09ad94a698,2,0,0,33,M,2284100.0
Friday,12:25,33ae8e1a88806f2a67b5ae21a4e27c13,Friday,20,22,d119d8075d3a8a4311a1ef3c61b1ed4b,1,0,0,37,F,1766180.0
Thursday,17:40,966dd041995c3d02e56f02eb01deccd0,Wednesday,22,22,1facf48f4c1cac9ba17f3aefbfde016a,1,0,0,0,M,2650700.0
Sunday,14:55,68917021781a3558eb824575f10a6c93,Monday,22,22,cea82209f135b5e7655fe20084f7c011,1,0,0,0,F,2650700.0
Tuesday,08:45,9e88c0d3df54cfe578173b34ca5591bc,Monday,22,22,44143fc73a4133e0a57a660e79cdbbd1,1,0,0,0,Unknown,2650700.0
Tuesday,17:40,560daaa2347b0a2fc3950e84abaa285b,Monday,22,22,565ba4f7d30de6040ab2d7af05b5dca7,1,0,0,0,F,2650700.0
Friday,12:25,ef0aa016fbbd2d37ba2ce878c7bc790d,Thursday,22,22,1161c41b2b04172c656edd6bcdd9791e,1,0,0,0,M,2650700.0
Thursday,12:25,2cbc140a6343bda8292826a2c73510a9,Tuesday,22,22,cb3d73eed08c56139edc6c7f8a5f46b6,1,0,0,0,M,2650700.0
Tuesday,12:25,d9dad727c3238d3573561e619b6e9c26,Monday,22,22,5cf460d2eb609b775fc4a9f55e2d37ba,1,0,0,0,Unknown,2650700.0
Friday,14:55,3cd551d4a2358004f7526387e4850777,Saturday,21,22,c6bd3656e22c3d4ee2468012b8a381f9,1,0,0,0,M,2650700.0
Thursday,14:55,7876e9ea41a4c70d081cead9933e2344,Wednesday,22,22,20ac0f8d1fd90bed1006eb6e4eed21f6,1,0,0,0,Unknown,2650700.0
Saturday,05:00,4ce594da7ee83d66cad19e64a414d093,Friday,22,22,4b48e84ff268232077935ea1f90c7086,1,0,0,28,F,2650700.0
Saturday,14:55,0a81ffd76531ed1bdbe9a0aed2e42bed,Friday,22,22,c494db467e4ff39b178f0b27b8226f13,1,0,0,0,M,2650700.0
Friday,14:55,0ebfd3a70e70b798065b8b6122335591,Thursday,22,22,8d545fcd6db833b35c491182cf175886,1,0,0,22,F,2650700.0
Monday,08:45,c3768318c046206e7533b30acce2dda7,Friday,21,22,95118d87f2b92206396774937199d02a,1,0,0,0,,2650700.0
Wednesday,05:00,44051f2c3fcb5da9c87d1e835416564e,Tuesday,22,22,924b28331ed2e1eda541a0441e4b3333,1,0,0,0,F,2650700.0
Saturday,08:45,3bc86947dde0baa05eedc7b00a6ae99e,Friday,22,22,525957f8bbb600b546f30885540b405f,1,0,0,0,M,2650700.0
Saturday,08:45,3150513c3d84f1864599d036da88ff69,Thursday,22,22,66a2751cd8a6423e72e655274806039e,1,0,0,0,F,2650700.0
Friday,05:50,272de8bf1ecea472a163d1034d7928ee,Thursday,22,22,0e7628e9067b895c75a1d171a32b23ad,1,0,0,0,F,2650700.0
Wednesday,14:55,20bd6791b66dd7438cdbf76a1ba1c811,Monday,22,22,d64a90a618202a5e8b25d8539377f3ca,1,0,0,0,M,2650700.0
Wednesday,05:00,2a2e866a0069e329a2311731d133c8bc,Monday,22,22,cd70903e7a92e9fbd63c44363fd4ca2c,1,0,0,0,M,2650700.0
Friday,12:25,7e5f24c182e927cf4bc0f74ed0b68403,Wednesday,22,22,248147d1224e24b41affd48e44bbe4ab,1,0,0,0,F,2650700.0
Thursday,05:00,145ec198bfbeaa9d67794f13356f8121,Wednesday,22,22,41dd0b4e8e7ffa685ba53e946053eae1,1,0,0,0,F,2650700.0
Thursday,17:40,696dfb4bac0a97be7b2bfaf5de3e8702,Monday,22,22,a0f3a6acb8651ca4568140e7092abf3f,1,0,0,48,M,2650700.0
Tuesday,05:00,724a3f15e03dc7755bc82a81790d3ecd,Monday,22,22,7c5ba79dc82d5ab915e3f2f42111311e,1,0,0,0,M,2650700.0
Thursday,08:45,fd1c47caa1c420c6369bbaa96eaa1aa2,Wednesday,22,22,7797a1cb52c3e6dbc1c1f8d47569e8c1,1,0,0,41,F,2650700.0
Saturday,05:50,3910c305d5f815dabcf934de83e0aaa7,Friday,22,22,f40fbd12f0ba99a8524fedcac93dba8d,1,0,0,0,M,2650700.0
Thursday,14:55,6c906f2e7ec1fe725e86068eb3d104d4,Wednesday,22,22,4cc87e22b903ae5db1358a5e46360579,1,0,0,0,M,2650700.0
Sunday,05:00,e517a9b28ac55651f8883b4c8635370b,Saturday,22,22,7a0b9fa480be1a10d9f960346ea20c81,1,0,0,0,M,2650700.0
Tuesday,05:00,8fe9ef1e1c0ec1800b43be7947a32ca5,Monday,22,22,50fb81f3c8c6743dc876ba49bbfb38b5,1,0,0,0,Unknown,2650700.0
Tuesday,08:45,ee33cf4c6aa49c6447527ba05dcff64e,Tuesday,22,22,153726d82e2bd976c3fa7a00850b0360,1,0,0,49,F,2650700.0
Wednesday,12:25,018e06c77675bc5f2fa6b1c4e35c9648,Sunday,21,22,710e283319cf734d5bd70b8f9480b578,1,0,0,0,M,2650700.0
Tuesday,14:55,cf5b75d5ed81b244577411314cf3be88,Monday,22,22,3ab418e5e993c442460561bf5c97f28e,1,0,0,41,M,2650700.0
Tuesday,14:55,8d5f01bb479539e8d9843a8776819381,Monday,22,22,167e69334df0c6d27ae10e26c3391d1f,1,0,0,0,Unknown,2650700.0
Saturday,05:00,0989acb83bb3064eb772fa90a8af3018,Friday,22,22,028c84e330d26873aaae3c2120608057,1,0,0,51,M,2650700.0
Wednesday,12:25,373def27a294834a7ed467072ddb5162,Monday,22,22,55285223add5e2c341339631d59901de,1,0,0,49,M,2650700.0
Thursday,17:40,415faa70e3b2dd90df593112b5695074,Wednesday,22,22,46e1a0d182037de89728113195c69ba1,1,0,0,0,M,2650700.0
Monday,12:25,458bb18d6328f1e10dcaf7196677369a,Friday,21,22,77d94435ce636d0e6b73452f3ed72040,1,0,0,0,F,2650700.0
Thursday,12:25,86f26cfe5082c88decb1e2eca7d92204,Monday,22,22,ca706882dbdf325d821603b53553e7b0,1,0,0,0,M,2650700.0
Saturday,12:25,4a5fcfc20c1a3f2834e763a8a6c67019,Wednesday,22,22,98628c7b0124a2dcf147e8835a211395,1,0,0,0,Unknown,2650700.0
Tuesday,08:45,79db35b95ee044b739ccf0c0fc9e1304,Tuesday,22,22,206297a47249135ffccf7024c97071ea,1,0,0,0,F,2650700.0
Saturday,12:25,5274f05b47cc1c816c3bcb4b6a59653c,Thursday,22,22,abb6cf52395bc77001f77d43e2ddea75,1,0,0,0,F,2650700.0
Friday,05:00,fd5417299762815950cccd8aa6835117,Wednesday,22,22,d6d28910024b3ae7a62cadacc86319cb,1,0,0,0,F,2650700.0
Saturday,05:00,17f7cc9d1ee6ec3df53a8cd736d84512,Friday,22,22,b3767bef04492bc3c42d9f9a66637290,1,0,0,54,M,2650700.0
Saturday,14:55,0cb5feff107fec1b65794bc890186491,Thursday,22,22,95dc236dfb8dbe34ea1155a86393daa3,1,0,0,28,F,2650700.0
Wednesday,05:50,97afab2b265bf7cb15d086ab304ef6a5,Saturday,21,22,7c514a8b0c31dfc3974ab348a0bb4844,1,0,0,0,F,2650700.0
Friday,14:55,cc8f2a75ba5172be864a096733767449,Thursday,22,22,fbcb679f444e60e37335218c228f601e,1,0,0,0,M,2650700.0
Wednesday,05:00,81754856a5321329e2e4f39201bf7341,Tuesday,22,22,5d170533edbe3cd0d2759c2893a767e7,1,0,0,0,,2650700.0
Saturday,12:25,8a1d49cf7d3aa821c39217b5b596a5e0,Thursday,22,22,67015013ae23a7339599aad2b70576e5,1,0,0,52,F,2650700.0
Tuesday,08:45,1d61306315599e32f0f2adf57cf5fc09,Monday,22,22,9074003ad8fe872d72c5aae1c9c077b0,1,0,0,0,F,2650700.0
Tuesday,08:45,10970651dda9461d33fd48b9b89cdfde,Monday,22,22,2622f4e524f8fef0b2b1813a430be899,1,0,0,0,F,2650700.0
Thursday,14:55,0955472ed4dcb6bb343165af04153d22,Wednesday,22,22,d16eb30c9da568da0bde98e7c36b8d55,1,0,0,0,M,2650700.0
Tuesday,14:55,72334b33a1f2b9ee9a1f1ee3b1529457,Sunday,21,22,34832db54005aff8f4f4dee7b26c89b3,1,0,0,0,F,2650700.0
Saturday,05:00,36124a5ebe380fc1d031a94e27c5c95c,Friday,22,22,b43f5bf61ab28974f1bf1ce3ac5a9635,1,0,0,51,M,2650700.0
Tuesday,08:45,c1a19deec8b5c162587526ee9c590d69,Monday,22,22,58c656935fa1b114f72dbc15918f97a8,1,0,0,0,F,2650700.0
Wednesday,05:00,936ec109f2aecbc5a1a6c3aaf1db84e2,Tuesday,22,22,0b809656863dd71b19e91a7ec6f89576,1,0,0,25,M,2650700.0
Tuesday,14:55,61eb39304ac5c24b9105debc5486a9f9,Sunday,21,22,85edca6c05049bb9f927206686b748a9,1,0,0,0,M,2650700.0
Wednesday,05:00,8b0c28bbc8cca6700794bb5f8c14a648,Monday,22,22,da7ecb728883ff344b39f275e976116a,1,0,0,0,F,2650700.0
Thursday,08:45,9f0bbf981f23d729ae9b0de10968bea6,Wednesday,22,22,b0a0f065f03986da39b20dc07bace270,1,0,0,0,Unknown,2650700.0
Monday,12:25,70429c1ffb0901430fff325573d7dba0,Saturday,20,22,3c5980e9351c711ed7a59c00167420ac,1,0,0,0,M,2650700.0
Wednesday,14:55,25d76636cf6491b637fcd2d0bc06e0d1,Tuesday,22,22,21dfef07f9b528883cc3b18f2c11eff6,1,0,0,0,M,2650700.0
Saturday,14:55,1fb5da030298e9f83b64be08596b1aca,Thursday,22,22,97bc1f86ca918605f9c163a33d30a417,1,0,0,0,F,2650700.0
Monday,08:45,8ce3cd241965a09c9f7e88887cd8f8c6,Saturday,21,22,328ad089463e2562f20a499449c7a511,1,0,0,0,M,2650700.0
Thursday,12:25,a5a6584f9652ed4dd07a0aba452b4b92,Tuesday,22,22,2a6984d1e78e860830de19bbb0642118,1,0,0,40,M,2650700.0
Tuesday,08:45,77b0bd8fdb9f153762e17ea79a848f8d,Monday,22,22,7d53b31a3d7cad1979629e647db86ace,1,0,0,0,F,2650700.0
Friday,14:55,de63e91b88b480fe8e5ac5d550789337,Thursday,22,22,f3d5fa3a9848f3785943239e33b6fac3,1,0,0,0,M,2650700.0
Monday,08:45,a018361b6d189d7f5bfdf939724c93ff,Monday,22,22,9e17fb559bade021a2222f72554b8739,1,0,0,0,M,2650700.0
Thursday,08:45,51ae2537d3d6caab8f4f3d9cbad90e63,Wednesday,22,22,7c514a8b0c31dfc3974ab348a0bb4844,1,0,0,0,F,2650700.0
Wednesday,12:25,373def27a294834a7ed467072ddb5162,Monday,22,22,55285223add5e2c341339631d59901de,1,0,0,49,M,2650700.0
Tuesday,14:55,31a3d06056c48dfa40becae7513df9f3,Friday,21,22,0558a9ad1150c605588e6fb8d5a68e8f,1,0,0,0,M,2650700.0
Tuesday,08:45,8f0802b029049b5e5da2130a6755cba2,Monday,22,22,6dcbcd1a019ab368e72e85b27d8b7149,1,0,0,0,M,2650700.0
Saturday,05:00,3724235fa04c47755af87559de0d3c9e,Friday,22,22,0d943ba68b8ec0cdb91fdd8a054f67ae,1,0,0,0,Unknown,2650700.0
Saturday,08:45,803df383c4a1d03bf0a1a61523aa8d10,Friday,22,22,0803108bccd70bd805d350056e77a5b0,1,0,0,0,M,2650700.0
Tuesday,05:00,b767c17896ab64a9cd7c8af5b24494aa,Monday,22,22,5e00cde9030088deca0851566aa54671,1,0,0,0,M,2650700.0
Friday,12:25,ef0aa016fbbd2d37ba2ce878c7bc790d,Thursday,22,22,1161c41b2b04172c656edd6bcdd9791e,1,0,0,0,M,2650700.0
Wednesday,12:25,373def27a294834a7ed467072ddb5162,Monday,22,22,55285223add5e2c341339631d59901de,1,0,0,49,M,2650700.0
Sunday,05:00,31b83845e7838a9a14e2bc56e49f6975,Saturday,22,22,597ce77d8562adf999fe168d4ecc5c96,1,0,0,0,Unknown,2650700.0
Thursday,08:45,afe201642a1e3ba6e38a77418d54b962,Monday,22,22,b9a3ecde044a71121cb7ba5199ea9c2d,1,0,0,17,M,2650700.0
Thursday,05:00,8cebcf887a52b8ff0b3027cf1e7cd215,Wednesday,22,22,22f8ecc8e4bc3acaa87aade1563a5c10,2,0,0,0,M,5301400.0
Saturday,12:25,dd426a5b85db818c94a21ed330ff7c65,Thursday,22,22,1b109d058d2ae1d5c22bab8bf0936b65,2,0,0,0,M,5301400.0
Saturday,14:55,ca83b9ebc624d433e248b4e42c9652ed,Thursday,22,22,c7241d499487fdfa44a912055841c089,2,0,0,22,F,5301400.0
Thursday,12:25,1c7f6eb282f9a29dc7f1ca0ebcd3fb78,Monday,22,22,830a9dd0b59706f0925fa12a11e0fa4f,2,0,0,0,F,5301400.0
Tuesday,12:25,4c3f2029ce45d0cae39fd5db4ae27bf6,Monday,22,22,51fbf1795a695b7795524e8a6c3eae6d,2,0,0,0,F,5301400.0
Thursday,14:55,e20c8a9efbd79ba158e47bdad43e3c40,Monday,22,22,0cbe82689415c6f1903f83ecfd52dc87,2,0,0,0,M,5301400.0
Thursday,05:00,8c3b335ceb82b7fe89d94a289fea6f36,Wednesday,22,22,94f4536946efc7d18dc5c4d9f07afc37,2,0,0,23,F,5301400.0
Thursday,14:55,3054e79f711413d4ab6585b8f4e75ee4,Wednesday,22,22,0486020733c40c4887d1e68bce86a378,2,0,0,0,Unknown,5301400.0
Tuesday,17:40,a85dcc731cb14e1bf3b247a0c4c94b64,Monday,22,22,391ea5660e3700e5049f9258f9864541,2,0,0,0,M,5301400.0
Tuesday,17:40,322297e88f87995b34ad4e14b22e4418,Saturday,21,22,da99deceb23fa7ca23b420199d7b7968,2,0,0,50,F,5301400.0
Wednesday,05:50,65543ea3c47a2ee9331342fbb14cfc70,Tuesday,22,22,d424e3c80825258ce6e0247966494a9d,2,0,0,32,F,5301400.0
Friday,05:00,e86c12678acecef6b1ab6b7486cf55af,Thursday,22,22,577fc0dd966464a9309404a671a836bf,2,0,0,0,F,5301400.0
Saturday,08:45,de38b6b2c689d99859a81c9bf922f4b7,Thursday,22,22,b32ff1c4377b6c5d1a2757ce5869e0a9,2,0,0,0,F,5301400.0
Tuesday,17:40,a6643effe1ef78d9b099f127fa91bb5e,Monday,22,22,eee5920c86aa5206ec653fdd027ac74a,2,0,0,0,F,5301400.0
Tuesday,17:40,302cb0e95e6ca38d04dba001eb91265d,Sunday,21,22,50ac8ae37d5273dcd213c58410159104,2,0,0,12,F,5301400.0
Saturday,08:45,2cdfd6e7de652cbc7942b7a3b7ff372b,Thursday,22,22,b32ff1c4377b6c5d1a2757ce5869e0a9,2,0,0,0,F,5301400.0
Tuesday,14:55,316460ff0dede3c796922ef8262227ed,Sunday,21,22,e7d5814b77bda16e32e04b82bf149bfd,2,0,0,41,M,5301400.0
Friday,14:55,25f1182ed7177e570deb7edf7f90cebc,Wednesday,22,22,1cb7b4e21e5d4d0d6298c3a9a472768b,2,0,0,30,F,5301400.0
Tuesday,12:25,2fac9aebff14328072d832d0f8a96639,Monday,22,22,390faff7f34e728a730569c67e3e3aec,2,0,0,0,M,5301400.0
Wednesday,14:55,80149efbf5db4bf48d08ae568977b30f,Monday,22,22,6c7f7912c8ca034606faf4bf00f0934c,2,0,0,0,Unknown,5301400.0
Wednesday,05:50,855a8f3ec3fab0e91aaf30f16fb4b5a3,Wednesday,22,22,3d0061ece90f98c1d06037e970dadc4c,2,0,0,0,M,5301400.0
Thursday,17:40,e1dd75754e411ff85302d103483b4a8f,Thursday,20,22,6944ce4edb56021eaeebdb9c200895a4,1,0,0,50,M,1708330.0
Tuesday,17:40,d3a1b57537c950e4011ac5e83dc51dc8,Wednesday,20,22,6eb783b49e8b90cc31739c5afa425541,1,0,0,0,F,1708330.0
Wednesday,05:00,c085b666dc112d2506a3b3eae59aa55e,Tuesday,20,22,1c932bde7eab9abc08532472e936071f,1,0,0,40,M,1708330.0
Wednesday,05:50,ea7d3e3371b8d7f5e1c432e4bfbae6e9,Friday,21,22,2bcc753608ce6e539ce86fa30b7df8e2,1,0,0,0,M,1708330.0
Friday,14:55,bbfafbad1ca8719f86ed3b70aa412f46,Thursday,21,22,8f4d20c41a16a28fd6c90f9077481740,1,0,0,0,F,1708330.0
Monday,05:00,c19ff68c2193b25e006570759c330b12,Thursday,21,22,eabf8154d7d333b93d546f9ca0c4839d,1,0,0,0,F,1708330.0
Tuesday,08:45,2b2cdd9c4ae3de015c08279e6e414c10,Wednesday,20,22,6e73d5d8e87e45639e7ac3a79feb5341,1,0,0,0,M,1708330.0
Monday,05:00,9665d7cf8cac7057c42b739345ca12c3,Wednesday,21,22,6db6bdfa20b8167045c267833d714b62,1,0,0,0,M,1708330.0
Friday,14:55,d35738d0d520a09d6d78ba0171b68175,Wednesday,20,22,8456cafc612e2b442e52639c88be17f3,1,0,0,0,F,1708330.0
Monday,08:45,d0dbfb4ccecd60c66eaf717f5c859cba,Thursday,20,22,4d04f7e6f78d58570c1380f2f89b5ac2,1,0,0,0,F,1708330.0
Tuesday,05:00,7ea1aee3336521053a0111ece6c25d1c,Friday,21,22,b3a8737480bb5a7d8a5647b0c14988c2,1,0,0,0,F,1708330.0
Monday,12:25,d789ea78d958ee2524a3300cb1c1a9f3,Tuesday,20,22,a1d1204d7fa65ceb1216310f8171e02e,1,0,0,13,M,1708330.0
Tuesday,12:25,ae1c97c8e288f6167b65021f7241116f,Tuesday,20,22,be741e74c72f6574510035b3eb87e5c2,1,0,0,0,M,1708330.0
Saturday,14:55,7bc10545861746907c6aeb82b5cfbdb2,Thursday,20,22,f6308b7cdfe6aefeea6a295bf73745d1,1,0,0,28,M,1708330.0
Saturday,05:00,b5caf4d479f070f767f7ef6a8d9a8786,Wednesday,21,22,b7e9cef834d8849540b41ff33e3f5cbe,1,0,0,0,F,1708330.0
Monday,05:00,33326ab26c86878a22a4a251b0810932,Thursday,21,22,137e086e0e6adae7ea56fd0a1797f60d,1,0,0,0,M,1708330.0
Wednesday,12:25,4fa9cc6a4c49cea5b9ca2c17fdbf947d,Thursday,20,22,785e7460ccb2ec49f9a736b061adb647,1,0,0,0,M,1708330.0
Monday,12:25,81c7fd2b99bc91ff30fb4f14c6cb27f2,Monday,19,22,3a91342432c6890b40159023407adeeb,1,0,0,36,F,1708330.0
Friday,12:25,b35017584a9e0b5821363a36804e4867,Wednesday,21,22,fae4276096bf6bfeb2f2a337acab5b2b,1,0,0,23,F,1708330.0
Friday,12:25,0b2e33aed5ff4c8a4b0815f05e674ea8,Tuesday,20,22,259454fc9e100487f8445456d1582e4f,1,0,0,0,M,1708330.0
Thursday,17:40,ca644769715e1b19cc97cffde8400135,Friday,21,22,065927b7be4b2fb6c7a5f29f7d01a00e,1,0,0,0,M,1708330.0
Monday,05:00,ffcfe9109c933b93dfd38e1ee67c0aa3,Wednesday,21,22,1f764d23e5eec19b5dbf7d3b75f7fd94,1,0,0,0,F,1708330.0
Wednesday,12:25,562aaac185d98daa1b9e248f17eb3290,Tuesday,20,22,915f9418668f1c4d5345d5ea75fa4cae,1,0,0,39,M,1708330.0
Friday,05:50,71a4d979b71728f67495c320568d0faa,Wednesday,21,22,a6cb17a162b8b109488f7d9bc058eee0,1,0,0,0,M,1708330.0
Monday,08:45,1f5ea9c7bf2cf4bf3bb5ab50daf8062a,Wednesday,20,22,de9b114136de3dd6a512a5cd7bdadcb0,1,0,0,0,M,1708330.0
Wednesday,05:50,2ba6c68b8839dd4144e248e7e7b41974,Friday,20,22,7c56a1ea9a57d34d5f15de0281a3ab60,1,0,0,25,F,1708330.0
Thursday,08:45,ebfd02295848f4e8ce4e113e7d318dc0,Thursday,20,22,fb046d1755b6de98addd409e806b06c2,1,0,0,0,F,1708330.0
Friday,05:00,3feadb99a2913d5921fae0020e8c1e9e,Thursday,21,22,0354ef33254618dc75e3c9168c3b41f2,1,0,0,26,M,1708330.0
Friday,12:25,0ce152308e26fd292a04746a377801ff,Wednesday,21,22,1ccdc176e849c393a931ae09ad94a698,1,0,0,33,M,1708330.0
Tuesday,14:55,dbebbd44e6f7a79ff774aac41a5cb21d,Monday,20,22,ce60f9e138e64f3b84fe816599370627,1,0,0,0,M,1708330.0
Wednesday,12:25,3ee2009619642bff643649db6d5f2202,Tuesday,20,22,f55334187662d713a2802daab8296ac1,1,0,0,31,F,1708330.0
Tuesday,12:25,3b60fce786ad75e2e97dcdb286ab9103,Thursday,21,22,9f0d134a5a2c0f420fdfcd71162f87e9,1,0,0,29,M,1708330.0
Tuesday,08:45,c40b0180f5c45aed2280a16069e5a623,Thursday,21,22,24cda9e3a5c4a6884fb0b1fc85daae9a,1,0,0,25,F,1708330.0
Thursday,17:40,7b2fc94ba092b71e7d5fa726052099b1,Thursday,20,22,57e5e578bb3598e1d4a69b33150e61e8,1,0,0,27,F,1708330.0
Monday,05:00,32262e9d6ba3f550bc7cd39c710d77d6,Thursday,21,22,559f91abcdcff947cb49a805aab5f4e4,1,0,0,0,Unknown,1708330.0
Tuesday,12:25,46f1f33ebe72a6fa5b1639edab95e6de,Tuesday,20,22,d2e76dc27fdf5c24dfd88e80b9303cf8,1,0,0,0,F,1708330.0
Monday,05:00,57f90fef910b304f4cd35a1b67832b48,Wednesday,20,22,ae6932c093b6a4626464330bfcd4801f,1,0,0,37,F,1708330.0
Wednesday,14:55,2cd61d5fa1477b2584d08ee70b7f1b30,Tuesday,20,22,d720378d0e48e980766ae572ec83fd8a,1,0,0,0,M,1708330.0
Wednesday,12:25,3584119276be2fa606679bb16a983d82,Tuesday,20,22,12e7150b32b3826615c80a8899810046,1,0,0,0,M,1708330.0
Thursday,05:00,050db2e1ee289cd6f448463867e8f531,Wednesday,21,22,1aa6d0da7d342d236390fdf8148b0082,1,0,0,20,M,1708330.0
Sunday,12:25,b761f3fe6407b3a9002d4b1f16522f60,Wednesday,20,22,8dbff91513db4c3d0ed5e68472351cc5,1,0,0,0,M,1708330.0
Saturday,14:55,06223b2aabc39fbef8455190ce71727c,Thursday,20,22,8c681d70e40c594cbc23cca7d2e9b3da,1,0,0,30,M,1708330.0
Tuesday,17:40,72614d455fdf4d2b89eb3fa1bfc8a071,Tuesday,20,22,5e8eb53cbdbade9c96a42ef070e1fb9e,1,0,0,0,F,1708330.0
Wednesday,05:50,0c147b3e482792fa6938d5a5124fbae8,Wednesday,20,22,f6d09c2b089ba174c5a9730fe45692fc,1,0,0,0,Unknown,1708330.0
Tuesday,17:40,56787e33b31580d2ab80ea3cf0ec8bdd,Thursday,20,22,9fd8bfa47e552f57c2a08700690fb9fe,1,0,0,0,Unknown,1708330.0
Monday,08:45,4c55c41b2e44a6f2641ebb71affa2ef0,Friday,20,22,2cfac59774d7a29a87e1d2a1f38caacd,1,0,0,31,M,1708330.0
Thursday,12:25,cedcb7afa56727a5ee19630151d56b00,Tuesday,20,22,b9c29927922f8e2b52805631259a9252,1,0,0,0,F,1708330.0
Thursday,12:25,fc3ab04aed65e9b9ea78f7ab288ef7b3,Thursday,20,22,fe37a08bfdad63afcc303bf6c9f0b47f,1,0,0,25,M,1708330.0
Thursday,14:55,7bc0ca919bf8c86e70bd83c96480748a,Monday,20,22,3f3f508b02c1cf0fdee4f9d35940f781,1,0,0,0,M,1708330.0
Monday,08:45,5c5fbbb64c0f935a04a71adb7a65a838,Wednesday,20,22,bc782a4dc6d208a96f6f47e3effd968b,1,0,0,0,Unknown,1708330.0
Sunday,12:25,210f950b9dad4e2c30155afb986df4bf,Monday,20,22,35ac5791057b3828f6951bad72ab2880,1,0,0,0,F,1708330.0
Tuesday,12:25,8f06b4ed66b53902882f0c515ed2d9fc,Wednesday,20,22,cd06d1ea9014eef4601af71c4b979f80,1,0,0,0,Unknown,1708330.0
Saturday,12:25,babec2ff41bc14b09aab49e93d1b4d9f,Wednesday,20,22,d215fcce19ca3c16fe589f6376112190,1,0,0,33,M,1708330.0
Friday,12:25,a3e3139dc6c551790d4f0e553ff7becf,Tuesday,20,22,ca423319dd7e65270f53aec3d6bbe67a,1,0,0,0,Unknown,1708330.0
Wednesday,12:25,6bd28c67bf9bf048d419fda9f8d13c88,Wednesday,20,22,915f9418668f1c4d5345d5ea75fa4cae,1,0,0,39,M,1708330.0
